No,Entropy,RGB,Tekstur
1,5.573197, [180.8050509574718,  190.2903812570978,  181.07340708950107] ,2929293.087775
2,5.640942, [169.4553300368256,  178.98955932773347,  169.6523430151347] ,2929294.17555
3,5.5671554, [180.80938705406092,  190.2938986565535,  181.07625386708958] ,2929295.2633249997
4,5.4733996, [172.81351733672926,  183.22091023975545,  173.48536169752828] ,2929296.3510999996
5,5.4842634, [174.1303728939449,  183.7335253380849,  174.12466037576104] ,2929297.4388749995
6,5.673307, [172.90145472492978,  183.22253677472497,  173.5340698950289] ,2929298.5266499994
7,5.3469276, [188.64149507007556,  197.48316514004313,  189.18649589118942] ,2929299.6144249993
8,5.5263615, [179.71838014831414,  187.8721072076398,  179.4267314874093] ,2929300.7021999992
9,5.482544, [188.66980837255232,  197.46385059725228,  189.20946533603004] ,2929301.789974999
10,5.6167164, [179.71771927016647,  187.87687059859155,  179.4168935392659] ,2929302.877749999
11,5.6498566, [169.4565347750019,  178.9914804126063,  169.65437286007224] ,2929303.965524999
